DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0249302,-0.08637683,1.053508,-0.1142702,-0.02750378,0.03912429,-0.9964651,0.6683307,0.7915993,0.3913727
0.022972,-0.8100845,2.25169,-0.3135371,-0.02506381,0.03700612,-1.006747,0.6497214,0.8433251,0.3841702
0.0229377,0.3379113,2.102734,-0.3717123,-0.02186169,0.03361276,-1.008324,0.6574723,0.891557,0.3756439
0.0219091,1.36346,1.074194,0.002241183,-0.02506962,0.03100628,-1.004091,0.6873445,0.9150916,0.3756931
0.0239015,1.331333,0.7999924,0.1128225,-0.02423241,0.03002117,-1.002249,0.7191653,0.9342126,0.3783897
0.0279222,0.6109586,0.8296898,0.1372976,-0.02385945,0.02757962,-1.002016,0.7362247,0.9573794,0.3822233
0.0229755,0.202223,0.9210913,0.1952976,-0.02251669,0.03064574,-1.003205,0.7408708,0.9785419,0.3867104
0.0268928,0.3877694,2.585777,0.5025881,-0.020321,0.03457186,-1.004622,0.751299,1.048081,0.4002264
0.0239673,0.6684356,2.762116,0.9171538,-0.02198153,0.04039334,-0.9999439,0.7673196,1.114281,0.4222081
0.024939,-0.2483847,1.720363,0.4271759,-0.02203865,0.03578173,-1.004144,0.7611251,1.157185,0.4328615
0.0219406,-0.5693551,1.453609,-0.2456499,-0.01909101,0.03433889,-1.005466,0.7486331,1.189078,0.4274718
0.0219055,0.01540402,2.156777,-0.3776222,-0.01801781,0.03261584,-1.002646,0.7489706,1.236324,0.4191998
0.0309055,-0.3654474,2.743123,0.4832223,-0.01632691,0.03298067,-1.001274,0.7376763,1.321101,0.434134
0.0289594,-1.034299,3.934164,0.4848298,-0.014666,0.03315575,-1.008117,0.7077236,1.435032,0.4481744
0.0259288,0.4573101,3.75176,0.6396292,-0.0105414,0.03316114,-1.006106,0.7195811,1.532311,0.4647592
0.0259209,1.34953,1.327376,1.285695,-0.01374674,0.03092335,-1.002238,0.7545621,1.566718,0.4980855
0.0298952,-0.01799444,2.104212,0.5995419,-0.01449595,0.0318885,-1.001015,0.7540242,1.629623,0.516009
0.0289569,-0.5994435,5.416265,0.187443,-0.00551704,0.03625753,-1.009333,0.7366662,1.786462,0.5214368
