DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0249348,0.1457395,6.577995,1.298471,-0.0007148217,0.04125086,-1.004214,0.8976543,2.628417,0.1259391
0.0269615,0.1112215,8.450581,0.10062,0.004981644,0.04529352,-1.002401,0.900653,2.856257,0.128652
0.0229421,0.4512194,6.92428,0.04866905,0.01439862,0.04510685,-1.004617,0.9110049,3.015115,0.1297686
0.0248943,1.330507,3.619493,1.038851,0.009266671,0.0438542,-1.003339,0.944127,3.105219,0.15563
0.0259689,1.253073,3.70898,0.1263384,0.01083897,0.04507713,-1.002576,0.9766679,3.201538,0.1589109
0.024895,-0.4190871,9.024457,-0.860915,0.01932499,0.04887831,-0.9992598,0.9662347,3.426201,0.1374784
0.0259637,-1.049566,9.197652,0.413717,0.02487417,0.05089787,-1.00543,0.938984,3.665006,0.14822
0.0249,0.01572298,7.317432,1.152955,0.02398384,0.05087192,-1.002131,0.9393755,3.84721,0.1769286
0.0219741,0.05153204,7.680737,0.5788395,0.02530964,0.05172506,-1.001006,0.9405079,4.015988,0.1896481
0.0229393,-0.3672476,8.704023,-0.1626493,0.02924353,0.05102724,-1.003537,0.9320835,4.215652,0.185917
0.0229424,0.1067872,8.647103,-0.1780829,0.0373025,0.05021273,-1.004057,0.9345334,4.414037,0.1818314
0.0239371,0.3621645,7.447362,0.7225887,0.03886641,0.04641326,-1.000755,0.9432026,4.592306,0.1991281
0.0219741,-0.190157,8.540089,0.9108743,0.04171444,0.04449386,-1.003921,0.939024,4.779966,0.2191437
0.0239027,-0.04114792,9.370378,0.4850396,0.04341501,0.04143807,-1.002205,0.9380405,5.003943,0.2307375
0.0249698,0.6959487,6.379388,0.6698207,0.04851186,0.04058916,-0.9995747,0.9554182,5.163236,0.2474627
0.0259281,0.2213213,5.220616,0.5668512,0.04830508,0.03914201,-1.002406,0.9611566,5.298596,0.2621601
0.0219438,0.1689435,7.076872,-0.1032991,0.05184484,0.0434428,-1.004172,0.9648639,5.45389,0.2598934
0.0289224,1.14584,7.637688,-0.5014349,0.05890607,0.04677129,-1.004186,0.9980043,5.67479,0.2453907
0.0239373,1.892048,5.868526,-0.0001605172,0.06301832,0.04713634,-1.001191,1.043295,5.815267,0.2453868
0.0229715,1.341882,4.10232,0.8245579,0.06246815,0.04538326,-0.9949589,1.07412,5.909503,0.2643282
0.0248995,-1.253346,6.778679,1.236402,0.06166555,0.04859201,-1.000708,1.042912,6.078289,0.2951139
0.0229382,-1.762552,9.152776,0.5230353,0.06586656,0.04888829,-1.00568,1.002483,6.288237,0.3071114
0.025912,0.003427215,8.98238,-0.0329256,0.07281139,0.04610088,-1.004021,1.002571,6.520988,0.3062582
0.0258973,0.7078919,8.897351,0.08672652,0.07896687,0.04376488,-0.9973433,1.020904,6.751405,0.3085042
0.0239667,-0.5033494,7.739731,1.579593,0.08200619,0.04646501,-0.9974103,1.00884,6.936901,0.3463619
0.0268948,-0.8366067,6.53148,1.958711,0.07963131,0.04404538,-1.002359,0.9863398,7.112564,0.399041
0.0249606,-0.5855086,8.172709,0.828017,0.08413248,0.04307988,-1.000962,0.9717252,7.31656,0.4197088
0.0239543,-0.8308619,9.19032,0.6483821,0.0916352,0.04540358,-0.9964423,0.9518225,7.536707,0.4352404
0.023892,-0.7121744,7.746573,1.544104,0.09277127,0.04530936,-0.9998614,0.9348072,7.721788,0.4721321
0.0229752,0.5424491,5.37517,1.555279,0.09257016,0.04313138,-1.002943,0.94727,7.845284,0.507865
0.0248954,1.477022,6.331645,0.1317943,0.1000334,0.04714448,-0.99547,0.9840411,8.002913,0.511146
0.0249338,0.9021475,5.656007,0.4619848,0.101446,0.05201525,-0.9926,1.006535,8.143938,0.522665
0.0269677,0.4142824,1.539542,1.15112,0.09911291,0.04325743,-0.9990628,1.017707,8.185456,0.5537081
0.0238973,0.7306233,1.039302,0.604728,0.1004332,0.04006891,-0.9960043,1.035167,8.210293,0.5681595
0.0219169,-0.3339828,7.833823,0.2972678,0.1059066,0.04975228,-0.9980773,1.027847,8.381986,0.5746747
0.0229663,-0.4132352,10.30805,0.471338,0.106028,0.05158808,-0.998676,1.018357,8.618724,0.5854995
0.0219413,0.5327032,6.134692,0.3086601,0.1122367,0.04414452,-0.9949745,1.030045,8.753327,0.5922719
0.0219387,0.09898891,3.329598,0.757444,0.1180856,0.03890574,-0.9926105,1.032217,8.826374,0.6088893
0.024896,-0.6048325,1.425403,1.854343,0.1115327,0.04232239,-0.9968343,1.017159,8.861861,0.655055
0.0289222,-0.06433564,2.838562,0.6250747,0.11037,0.04173936,-1.001755,1.015298,8.943958,0.6731335
0.0309537,0.5084425,5.733631,-0.2448247,0.1211368,0.04271441,-0.9941405,1.031036,9.121435,0.6655552
0.0278899,-0.2773674,4.915955,0.5533427,0.1194305,0.04686808,-0.9957262,1.0233,9.258541,0.6809879
0.0299191,-0.1028996,1.792927,0.4156301,0.1254032,0.04591403,-0.9950472,1.020222,9.312184,0.6934232
0.0229087,0.08370646,0.6925923,1.062093,0.1228604,0.04579118,-0.9966725,1.022139,9.328051,0.7177543
0.0259663,0.3057744,0.5234584,0.6004022,0.1180937,0.04772155,-0.996472,1.030079,9.341643,0.7333446
0.0249292,0.6990901,0.2322244,-0.531579,0.1238367,0.04493936,-0.9964213,1.047507,9.347432,0.7200927
0.0249638,0.3039573,0.05113041,0.06781279,0.1260126,0.04261246,-0.9938368,1.055095,9.348708,0.7217856
0.0299175,-0.5307977,4.084922,0.4328192,0.1212024,0.04434488,-1.000625,1.039215,9.470919,0.7347345
0.0269277,0.6387414,3.082128,-0.3198737,0.1280731,0.04273641,-0.9927076,1.056415,9.553913,0.726121
0.026894,0.2856239,0.5932124,0.4641674,0.1283478,0.03981913,-0.9944405,1.064096,9.569867,0.7386043
0.0239699,-0.05204033,0.1368329,1.01314,0.1243387,0.04311447,-0.9970406,1.062849,9.573147,0.7628891
0.0239264,0.3562463,0.3813434,0.5778769,0.1238257,0.04395372,-0.9950799,1.071373,9.582271,0.7767156
0.0229387,0.02269993,0.8025361,-0.02474489,0.1250015,0.04466702,-0.9913833,1.071893,9.600679,0.776148
